Model,,Classification Accuracy (%),,,,,,,,
Dense-CNN,0.6832,68.32,,,,,,,,
Dense-CNN,0.6196,61.96,,,,,,,,
Dense-CNN,0.6711,67.11,,,,,,,,
Dense-CNN,0.6523,65.23,,,,,,,,
Dense-CNN,0.6756,67.56,,,,,,,,
Dense-CNN,0.5921,59.21,,,,,,,,
Dense-CNN,0.6199,61.99,,,,,,,,
Dense-CNN,0.7006,70.06,,,,,,,,
Dense-CNN,0.7085,70.85,,,,,,,,
Dense-CNN,0.69,69,,,,,,,,
